0.00E+00,0.00E+00
1.324786,0.00E+00
4.145299,0.00E+00
9,6.09E-02
10,0.00E+00
11.15385,0.1052632
11.32479,0.00E+00
12.82051,0.00E+00
14.18803,2.77E-03
16.79487,8.31E-02
17.82051,3.32E-02
18.88889,9.42E-02
19.57265,3.32E-02
20,0.00E+00
21,2.77E-02
21.11111,4.99E-02
21.79487,7.76E-02
22.05128,0.1301939
22.86325,0.2105263
22.99145,0.1191136
23.88889,2.77E-03
24.10256,0.2631579
24.8718,7.20E-02
25.04274,2.77E-03
25.94017,0.8421053
26.15385,5.82E-02
26.88034,1.39E-02
27.17949,0.2603878
27.94872,1
28.24786,1.66E-02
29.01709,0.1883657
29.10256,0.3185596
30.04274,5.26E-02
30.1282,0.4238227
30.81197,3.88E-02
30.98291,0.3213297
31.92308,0.6426593
32.09402,0.2299169
32.86325,1.00277
32.90598,0.1191136
34.01709,0.5235457
34.05983,5.54E-03
